iter	Passed	Remaining
807	13760	3269
808	13765	3250
809	13770	3230
810	13774	3210
811	13782	3191
812	13828	3180
813	13833	3161
814	13839	3141
815	13844	3121
816	13848	3101
817	13855	3082
818	13863	3063
819	13964	3065
820	13975	3047
821	13980	3027
822	13986	3008
823	13994	2989
824	13999	2969
825	14028	2955
826	14046	2938
827	14051	2918
828	14055	2899
829	14060	2879
830	14067	2860
831	14120	2851
832	14145	2835
833	14152	2816
834	14157	2797
835	14162	2778
836	14186	2762
837	14242	2753
838	14289	2742
839	14311	2726
840	14316	2706
841	14320	2687
842	14326	2668
843	14331	2649
844	14337	2629
845	14375	2616
846	14399	2601
847	14404	2581
848	14409	2562
849	14413	2543
850	14418	2524
851	14425	2505
852	14471	2493
853	14475	2474
854	14481	2455
855	14487	2437
856	14492	2418
857	14496	2399
858	14504	2380
859	14528	2365
860	14548	2348
861	14553	2329
862	14557	2310
863	14561	2292
864	14566	2273
865	14574	2255
866	14628	2243
867	14635	2225
868	14640	2206
869	14645	2188
870	14652	2170
871	14656	2151
872	14659	2132
873	14663	2114
874	14677	2096
875	14710	2082
876	14725	2065
877	14729	2046
878	14734	2028
879	14739	2009
880	14744	1991
881	14749	1973
882	14758	1955
883	14822	1945
884	14841	1928
885	14846	1910
886	14851	1892
887	14856	1873
888	14864	1856
889	14869	1837
890	14879	1820
891	14895	1803
892	14945	1790
893	15065	1786
894	15118	1773
895	15128	1756
896	15133	1737
897	15137	1719
898	15141	1701
899	15147	1683
900	15151	1664
901	15156	1646
902	15167	1629
903	15171	1611
904	15190	1594
905	15196	1576
906	15202	1558
907	15207	1540
908	15212	1522
909	15216	1504
910	15222	1487
911	15226	1469
912	15266	1454
913	15277	1437
914	15282	1419
915	15286	1401
916	15291	1384
917	15296	1366
918	15301	1348
919	15305	1330
920	15311	1313
921	15335	1297
922	15338	1279
923	15344	1262
924	15347	1244
925	15351	1226
926	15356	1209
927	15360	1191
928	15371	1174
929	15386	1158
930	15392	1140
931	15398	1123
932	15402	1106
933	15407	1088
934	15410	1071
935	15416	1054
936	15425	1037
937	15449	1021
938	15458	1004
939	15463	987
940	15470	969
941	15475	952
942	15480	935
943	15489	918
944	15513	902
945	15518	885
946	15523	868
947	15529	851
948	15533	834
949	15537	817
950	15541	800
951	15547	783
952	15566	767
953	15574	750
954	15579	734
955	15584	717
956	15588	700
957	15592	683
958	15596	666
959	15610	650
960	15629	634
961	15636	617
962	15641	600
963	15645	584
964	15649	567
965	15655	551
966	15658	534
967	15667	517
968	15691	501
969	15700	485
970	15703	469
971	15708	452
972	15713	436
973	15717	419
974	15721	403
975	15726	386
976	15733	370
977	15750	354
978	15756	337
979	15759	321
980	15764	305
981	15768	289
982	15773	272
983	15778	256
984	15812	240
985	15827	224
986	15831	208
987	15837	192
988	15840	176
989	15844	160
990	15849	143
991	15894	128
992	15925	112
993	15975	96
994	16008	80
995	16021	64
996	16029	48
997	16041	32
998	16045	16
999	16049	0
